jid,fips,county_name,state_abbr,project_year,project_type,project_status,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,project_amount,jail_capacity_before,jail_capacity_after
01003001,01003,Baldwin County,AL,2020,New Jail,Passed,https://perma.cc/JQR3-5PTC,0,0,0,0,0,0,0,65000000,650,900
01009001,01009,Blount County,AL,2020,Jail Expansion,Passed,https://perma.cc/W8CS-GN5P,https://perma.cc/R4J4-45KH,0,0,0,0,0,0,2400000,101,172
01013001,01013,Butler,AL,2008,New Jail,Passed,https://perma.cc/7EE3-AE3B,https://perma.cc/GL7E-A7AG,0,0,0,0,0,0,6000000,53,94
01015002,01015,Calhoun County,AL,2020,Jail Expansion,Passed,https://perma.cc/5SZ3-2268,0,0,0,0,0,0,0,6000000,,
01017002,01017,Chambers County,AL,2017,Jail Expansion,Passed,https://perma.cc/RW65-KSRY,0,0,0,0,0,0,0,4700000,135,256
01023001,01023,Choctaw,AL,2022,New Jail,Pending,https://perma.cc/4935-CBY5,https://perma.cc/TGL2-DMK5,https://perma.cc/YGE9-474M,https://perma.cc/SW2U-92BF,0,0,0,0,7600000,64,75
01031002,01031,Coffee,AL,2017,Jail Expansion,Passed,https://perma.cc/V8X6-CHTT,https://perma.cc/AA2B-P6VY,https://perma.cc/P86F-CMKR,0,0,0,0,0,1400000,124,164
01043002,01043,Cullman,AL,2022,Jail Expansion,Passed,https://perma.cc/EPL4-KAAS,0,0,0,0,0,0,0,132500,15,32
01049001,01049,DeKalb,AL,2006,New Jail,Passed,https://perma.cc/N7LD-79SU,https://perma.cc/C2YM-LF36,https://perma.cc/32P2-EBBU,0,0,0,0,0,10600000,92,256
01049001,01049,DeKalb,AL,2020,Jail Expansion,Pending,https://perma.cc/VD5K-EWKZ,https://perma.cc/8MC2-7A2E,0,0,0,0,0,0,,325,
01053001,01053,Escambia,AL,2021,New Jail,Passed,https://perma.cc/RMH2-RDMB,https://perma.cc/N57K-6KVX,0,0,0,0,0,0,142000000,162,350
01055001,01055,Etowah,AL,2003,Jail Expansion,Passed,https://perma.cc/NK98-CZMQ,https://perma.cc/LV78-VUK6,https://perma.cc/HM8W-R235,0,0,0,0,0,13500000,436,856
01057001,01057,Fayette,AL,2019,New Jail,Passed,https://perma.cc/PH6N-FAJH,https://perma.cc/XFT2-JLFD,0,0,0,0,0,0,4700000,0,
01061001,01061,Geneva,AL,2019,New Jail,Passed,https://12ft.io/proxy?q=https%3A%2F%2Fdothaneagle.com%2Fnews%2Fgovernment%2Fmore-than-a-decade-in-the-making-construction-on-new-geneva-county-jail-could-begin%2Farticle_62124d64-555e-11e8-bb9d-efeca514ca14.html,0,0,0,0,0,0,0,9000000,49,150
01069002,01069,Houston,AL,2019,Jail Expansion,Failed,https://12ft.io/proxy?q=https%3A%2F%2Fdothaneagle.com%2Fnews%2Fgovernment%2Fhouston-county-sheriff-s-office-requests-jail-expansion-for-mental-health-inmates%2Farticle_deb657ea-96c9-11e9-aad0-377b6efec63f.html,https://perma.cc/A36X-GKF8,0,0,0,0,0,0,,397,457
01073007,01073,Jefferson,AL,2022,New Jail,Pending,https://perma.cc/GT2S-XU2Z,0,0,0,0,0,0,0,,0,
01077001,01077,Lauderdale,AL,2021,Jail Expansion,Pending,https://perma.cc/F53C-4WM8,https://perma.cc/287W-S49N,0,0,0,0,0,0,45000000,200,
01081002,01081,Lee,AL,2007,New Jail,Passed,https://perma.cc/L25N-DY6Y,0,0,0,0,0,0,0,20000000,0,430
01083002,01083,Limestone,AL,2004,New Jail,Passed,https://perma.cc/543B-YUF4,https://perma.cc/BG4G-4VL3,0,0,0,0,0,0,3800000,0,288
01083002,01083,Limestone,AL,2015,Jail Expansion,Passed,https://perma.cc/543B-YUF4,https://perma.cc/SC9L-8SDJ,https://perma.cc/BG4G-4VL3,https://perma.cc/XRG9-UC9T,0,0,0,0,3290000,288,312
01089002,01089,Madison,AL,2009,Jail Expansion,Passed,https://perma.cc/SG2Q-KSY5,https://perma.cc/ZK4V-2ABU,https://perma.cc/ZZP5-Y86Z,0,0,0,0,0,80000000,136,1036
01089002,01089,Madison,AL,2021,New Jail,Pending,https://perma.cc/ZZP5-Y86Z,https://perma.cc/7HQF-WMZK,0,0,0,0,0,0,,1036,
01093001,01093,Marion,AL,2020,New Jail,Passed,https://perma.cc/7ZDR-NQBT,https://perma.cc/CE8Y-WZTN,https://perma.cc/SS2T-NVVU,0,0,0,0,0,14000000,86,208
01097002,01097,Mobile,AL,2002,Jail Expansion,Passed,https://perma.cc/F72B-ZYMV,https://perma.cc/ZG9T-8H98,0,0,0,0,0,0,2610000,816,1141
01099002,01099,Monroe,AL,2005,New Jail,Passed,https://perma.cc/6XQX-8KPR,https://perma.cc/2RBF-7N2Z,https://emma.msrb.org/EA421950-EA328647-EA724489.pdf,https://perma.cc/287W-S49N,0,0,0,0,7000000,48,150
01101001,01101,Montgomery,AL,2006,New Jail,Passed,https://perma.cc/2KLV-PYK5,0,0,0,0,0,0,0,50000000,0,1290
01103001,01103,Morgan,AL,2005,New Jail,Passed,https://perma.cc/SMF6-KM6N,https://perma.cc/FW8X-5HEN,0,0,0,0,0,0,11000000,0,424
01103001,01103,Morgan,AL,2017,Jail Expansion,Passed,https://perma.cc/E2RC-ELY6,https://perma.cc/7CCJ-LZS7,0,0,0,0,0,0,11000000,550,994
01105001,01105,Perry,AL,2006,New Jail,Passed,https://perma.cc/LD65-MKC6,0,0,0,0,0,0,0,,0,
01105001,01105,Perry,AL,2021,Jail Expansion,Passed,https://perma.cc/LD65-MKC6,0,0,0,0,0,0,0,650000,,
01109001,01109,Pike,AL,2021,New Jail,Passed,https://perma.cc/2AYG-LSMK,0,0,0,0,0,0,0,36000000,0,175
01111001,01111,Randolph,AL,2020,New Jail,Passed,https://perma.cc/SP73-K2SR,https://perma.cc/Z9YH-NWM9,0,0,0,0,0,0,9700000,0,150
01113002,01113,Russell,AL,2012,Jail Expansion,Passed,https://perma.cc/AEM8-8RFZ,0,0,0,0,0,0,0,2500000,163,283
01115001,01115,St. Clair County,AL,2020,New Jail,Passed,https://perma.cc/KJU9-AX2K,https://perma.cc/287W-S49N,0,https://perma.cc/LCS8-AZMY,https://perma.cc/9WJG-VWEV,0,0,0,25000000,214,323
01117001,01117,Shelby,AL,2002,New Jail,Passed,https://perma.cc/YM4X-RAAX,0,0,0,0,0,0,0,20000000,77,267
01117001,01117,Shelby,AL,2020,Jail Expansion,Pending,https://perma.cc/LJ7K-C5MW,https://perma.cc/YM4X-RAAX,0,0,0,0,0,0,15000000,550,
01117004,01117,Shelby,AL,Unavailable,Jail Expansion,Passed,https://perma.cc/YM4X-RAAX,https://perma.cc/LJ7K-C5MW,https://perma.cc/UE5P-5W54,0,0,0,0,0,,267,550
01119001,01119,Sumter,AL,2003,New Jail,Passed,https://perma.cc/HJZ3-9ZWE,https://perma.cc/73VR-VLDA,0,0,0,0,0,0,1595000,0,120
01121003,01121,Talladega,AL,2012,Jail Expansion,Passed,https://12ft.io/proxy?q=https%3A%2F%2Fwww.annistonstar.com%2Fthe_daily_home%2Fdh_news%2Ftalladega-county-could-house-state-inmates-at-metro-jail%2Farticle_ab49ade1-4983-5f11-9f87-fd71a3367d80.html,https://perma.cc/FVQ8-XAWF,0,0,0,0,0,0,16300000,,
01125002,01125,Tuscaloosa,AL,2022,Jail Expansion,Passed,https://perma.cc/CA2X-6E96,https://perma.cc/E78P-ZZT2,0,0,0,0,0,0,13000000,540,
01127002,01127,Walker,AL,2020,Jail Expansion,Pending,https://perma.cc/EES4-6K4B,0,0,0,0,0,0,0,,280,320
01131001,01131,Wilcox,AL,2002,New Jail,Passed,https://perma.cc/68L2-GAFZ,0,0,0,0,0,0,0,,0,64
04003005,04003,Cochise,AZ,2022,New Jail,Pending,https://perma.cc/JFP5-53EC,https://perma.cc/8V2D-L6ZZ,https://perma.cc/24XL-D53F,0,0,0,0,0,92000000,302,
04005002,04005,Coconino County,AZ,2021,Jail Expansion,Passed,https://perma.cc/BRF5-XSP9,0,0,0,0,0,0,0,4200000,,48
04009001,04009,Graham,AZ,2017,New Jail,Passed,https://perma.cc/NBZ8-CRVR,https://perma.cc/F567-ZHN6,0,0,0,0,0,0,25000000,0,225
04013011,04013,Maricopa County,AZ,2018,New Jail,Passed,https://perma.cc/B355-XYMV,https://perma.cc/VW2D-2XEM,0,0,0,0,0,0,185000000,0,1792
04015002,04015,Mohave,AZ,2010,New Jail,Passed,https://perma.cc/56PY-T7CE,https://perma.cc/B89Y-MFWA,0,0,0,0,0,0,72000000,240,688
04019001,04019,Pima,AZ,2005,Jail Expansion,Passed,https://perma.cc/WT8R-6Q52,https://perma.cc/Y8MA-CNEP,0,0,0,0,0,0,27300000,1465,1913
04021004,04021,Pinal,AZ,2006,Jail Expansion,Passed,https://perma.cc/6L3H-DXFG,https://perma.cc/DJ8S-7PVN,0,0,0,0,0,0,62100000,472,1503
04023001,04023,Santa Cruz,AZ,2011,New Jail,Passed,https://perma.cc/9ZAW-3KUS,https://perma.cc/6T2S-LXAA,https://perma.cc/U5PK-EDYG,0,0,0,0,0,59800000,52,372
04025001,04025,Yavapai,AZ,2003,Jail Expansion,Passed,https://perma.cc/FB7F-VAYB,https://perma.cc/TCB8-2U3R,0,0,0,0,0,0,20000000,164,644
04025001,04025,Yavapai,AZ,2021,New Jail,Passed,https://perma.cc/8MFK-PDK4,https://perma.cc/G73C-U9QR,https://perma.cc/H4NC-FZSC,0,0,0,0,0,63100000,644,796
04027002,04027,Yuma,AZ,2007,New Jail,Passed,https://perma.cc/7UEX-WX4F,https://perma.cc/F6R2-BXFQ,https://perma.cc/CCD4-MSW2,https://perma.cc/F56R-FTCN,0,0,0,0,11600000,675,756
05003002,05003,Ashley,AR,2004,New Jail,Passed,https://perma.cc/WET5-YHMS,https://perma.cc/S78A-22AD,0,0,0,0,0,0,7500000,64,144
05005001,05005,Baxter,AR,2017,Jail Expansion,Passed,https://perma.cc/6PX5-BYNP,https://perma.cc/BU78-8MSC,0,0,0,0,0,0,2600000,100,151
05007003,05007,Benton,AR,2022,Jail Expansion,Failed,0,https://perma.cc/5BQP-B73D,https://perma.cc/G4QP-RJRC,https://perma.cc/2RBP-6TMP,https://perma.cc/2F44-EB52,https://perma.cc/4GW4-RWZE,0,0,241000000,669,1813
05009002,05009,Boone,AR,2020,Jail Expansion,Passed,https://perma.cc/73RU-4JJX,https://perma.cc/39QK-JFYM,0,0,0,0,0,0,1700000,104,149
05015001,05015,Carroll,AR,2003,New Jail,Passed,https://perma.cc/2AGD-CDQ4,0,0,0,0,0,0,0,,29,
05023001,05023,Cleburne,AR,2005,Jail Expansion,Passed,https://perma.cc/C27T-K8G5,https://perma.cc/KEV6-7WCW,https://perma.cc/AD5H-LH69,0,0,0,0,0,,,90
05027002,05027,Columbia,AR,2021,New Jail,Pending,https://perma.cc/5N86-L5PK,0,0,0,0,0,0,0,15000000,90,200
05031001,05031,Craighead,AR,2007,Jail Expansion,Passed,https://perma.cc/58FZ-VXBD,0,0,0,0,0,0,0,1800000,346,360
05031001,05031,Craighead,AR,2021,Jail Expansion,Pending,https://perma.cc/V4G5-HJQT,https://perma.cc/Q7JM-ACYR,https://perma.cc/58FZ-VXBD,0,0,0,0,0,20000000,360,669
05033001,05033,Crawford,AR,2016,New Jail,Passed,https://perma.cc/B57E-YD2G,https://perma.cc/6RN9-YYFT,0,0,0,0,0,0,17100000,88,307
05037003,05037,Cross,AR,2019,New Jail,Passed,https://perma.cc/B5ZJ-Q5SB,https://perma.cc/HJA8-FYER,0,0,0,0,0,0,14000000,86,143
05045001,05045,Faulkner,AR,2020,New Jail,Pending,https://perma.cc/DWL6-ZYF9,https://perma.cc/3FGP-MWES,https://perma.cc/LX66-S33A,https://perma.cc/8DGD-HGXA,https://perma.cc/AKQ6-JXJ9,https://perma.cc/56FT-F6K4,https://perma.cc/X8U4-3Y4U,0,,118,128
05047001,05047,Franklin,AR,2020,New Jail,Passed,https://perma.cc/PJW2-UPB7,0,0,0,0,0,0,0,8000000,30,104
05049001,05049,Fulton,AR,2011,New Jail,Passed,https://perma.cc/LG25-VR9W,0,0,0,0,0,0,0,2000000,7,24
05051002,05051,Garland,AR,2015,New Jail,Passed,https://perma.cc/PE8Y-2NWB,0,0,0,0,0,0,0,42000000,0,482
05051002,05051,Garland,AR,2020,Jail Expansion,Pending,https://perma.cc/PE8Y-2NWB,https://12ft.io/proxy?q=https%3A%2F%2Fwww.nwaonline.com%2Fnews%2F2020%2Fmar%2F09%2Fexpanded-jail-funds-advance-in-garland-%2F,https://12ft.io/proxy?q=https%3A%2F%2Fwww.arkansasonline.com%2Fnews%2F2019%2Fmay%2F23%2Fjail-always-to-fill-up-jps-are-told-201%2F,0,0,0,0,0,,482,800
05055001,05055,Greene,AR,2014,Jail Expansion,Passed,https://perma.cc/Y4VL-GA95,https://perma.cc/F8RZ-NCBC,https://perma.cc/N4G9-TRLZ,0,0,0,0,0,17500000,56,488
05061001,05061,Howard,AR,2022,Jail Expansion,Pending,https://perma.cc/QHM6-ZS9Z,0,0,0,0,0,0,0,,40,
05063002,05063,Independence,AR,2022,Jail Expansion,Passed,https://perma.cc/BE5J-CPPX,https://perma.cc/7VCA-D4V4,https://12ft.io/proxy?q=https%3A%2F%2Fwww.arkansasonline.com%2Fnews%2F2021%2Fjul%2F19%2Fyouth-lockup-buy-key-to-prison-plan%2F,0,0,0,0,0,5400000,130,150
05065001,05065,Izard,AR,2003,New Jail,Passed,https://perma.cc/65DV-U4E7,https://perma.cc/5PZQ-8HQ9,0,0,0,0,0,0,1855000,0,38
05069002,05069,Jefferson,AR,2007,New Jail,Passed,https://perma.cc/R4PW-M5BJ,https://perma.cc/3KER-8Q4D,0,0,0,0,0,0,11000000,0,315
05073001,05073,Lafayette,AR,2008,New Jail,Passed,https://perma.cc/8Y9Z-D92H,0,0,0,0,0,0,0,4500000,18,52
05075003,05075,Lawrence,AR,2018,New Jail,Passed,https://perma.cc/37HS-RNDN?type=image,0,0,0,0,0,0,0,8400000,42,100
05079002,05079,Lincoln,AR,2021,New Jail,Passed,https://perma.cc/K48H-ZCRE,https://perma.cc/U8MA-35VY,0,0,0,0,0,0,6000000,22,42
05081001,05081,Little River,AR,2022,New Jail,Passed,https://perma.cc/5H54-2UJM,0,0,0,0,0,0,0,8500000,24,84
05083003,05083,Logan,AR,2014,New Jail,Passed,https://perma.cc/5HAM-AA8Yhttps://perma.cc/ALE2-PKWM,https://perma.cc/8QWK-73NQhttps://perma.cc/5NSF-E23S,https://perma.cc/SM7Z-ZLSEhttps://perma.cc/VQT5-HHTC,https://perma.cc/CS5H-4DUR,0,0,0,0,12000000,34,100
05085001,05085,Lonoke,AR,2011,New Jail,Passed,https://perma.cc/3Y65-UMCT,https://perma.cc/QSJ3-6FF7,0,0,0,0,0,0,6200000,68,136
05087001,05087,Madison,AR,2014,New Jail,Failed,https://perma.cc/56FS-M66G,0,0,0,0,0,0,0,5200000,8,42
05087001,05087,Madison,AR,2022,New Jail,Pending,https://perma.cc/7WPK-JBTH,https://perma.cc/WL2A-DCKM,0,0,0,0,0,0,16000000,8,148
05089001,05089,Marion,AR,2015,New Jail,Failed,https://perma.cc/97RR-QUG2,https://perma.cc/V49B-TTZK,0,0,0,0,0,0,7800000,20,94
05089001,05089,Marion,AR,2016,New Jail,Passed,https://perma.cc/V49B-TTZK,https://perma.cc/UPY2-4JMG,https://perma.cc/97RR-QUG2,0,0,0,0,0,7200000,20,62
05091002,05091,Miller,AR,2002,New Jail,Passed,https://perma.cc/G9N4-72LV,0,0,0,0,0,0,0,,0,285
05091002,05091,Miller,AR,2022,Jail Expansion,Passed,https://perma.cc/SH2W-7YES,https://perma.cc/423T-TZUR,0,0,0,0,0,0,3700000,285,345
05097001,05097,Montgomery,AR,2018,New Jail,Passed,https://perma.cc/6NJM-5K2J,https://perma.cc/74NY-LURS,https://perma.cc/Y8F7-EJTZ,0,0,0,0,0,8700000,0,30
05099001,05099,Nevada,AR,2016,New Jail,Passed,https://perma.cc/5VSY-XEX2,https://perma.cc/R9YF-KK7D,https://perma.cc/8GT8-LSKA,0,0,0,0,0,5900000,24,80
05101001,05101,Newton,AR,2012,New Jail,Passed,https://perma.cc/RZQ3-CZKE,https://perma.cc/P85K-2VFF,0,0,0,0,0,0,1000000,6,30
05103001,05103,Ouachita,AR,2012,New Jail,Passed,https://perma.cc/RK4S-KYA8,https://perma.cc/R9YF-KK7D,0,0,0,0,0,0,11700000,0,130
05105001,05105,Perry,AR,2010,New Jail,Passed,https://perma.cc/QK2T-UCVC,0,0,0,0,0,0,0,1200000,0,22
05113001,05113,Polk,AR,2015,New Jail,Failed,https://perma.cc/T292-9DTP,https://perma.cc/WKT5-HR66,0,0,0,0,0,0,10900000,0,100
05113001,05113,Polk,AR,2022,Jail Expansion,Passed,https://perma.cc/WKT5-HR66,https://perma.cc/H2KF-B37S,0,0,0,0,0,0,2900000,28,60
05115001,05115,Pope,AR,2020,New Jail,Failed,https://perma.cc/X38Y-TAET,https://perma.cc/78WB-FNS3,0,0,0,0,0,0,58800000,172,400
05117001,05117,Prairie,AR,2015,New Jail,Passed,https://perma.cc/E7BD-U64P,https://perma.cc/SA88-YFND,https://perma.cc/DTH9-W7BB,0,0,0,0,0,3510000,0,50
05119003,05119,Pulaski,AR,2006,Jail Expansion,Failed,https://perma.cc/YK7N-BXEN,0,0,0,0,0,0,0,18000000,880,1618
05119003,05119,Pulaski,AR,2009,Jail Expansion,Passed,https://perma.cc/A6LL-UP9R,0,0,0,0,0,0,0,1300000,880,980
05119003,05119,Pulaski,AR,2010,Jail Expansion,Passed,https://perma.cc/ER27-PX5H,0,0,0,0,0,0,0,950000,980,1055
05121001,05121,Randolph,AR,2015,Jail Expansion,Passed,https://perma.cc/XU6T-77FV,0,0,0,0,0,0,0,1000000,34,94
05123001,05123,St. Francis,AR,2021,New Jail,Passed,https://perma.cc/BAL2-E9ES,https://perma.cc/P62A-CQ7W,https://www.pressreader.com/usa/times-herald/20220629/281487870039553,0,0,0,0,0,10000000,80,144
05125002,05125,Saline,AR,2007,New Jail,Passed,https://perma.cc/XVG4-YWFH,https://perma.cc/8CAE-QUTM,0,0,0,0,0,0,8500000,0,234
05125002,05125,Saline,AR,2022,Jail Expansion,Pending,https://perma.cc/MZA2-F5L9,0,0,0,0,0,0,0,1500000,234,314
05127001,05127,Scott,AR,2009,New Jail,Passed,https://perma.cc/4Q4D-WYJW,0,0,0,0,0,0,0,4000000,7,72
05129002,05129,Searcy,AR,2018,New Jail,Passed,https://perma.cc/5V69-A592,0,0,0,0,0,0,0,2000000,10,30
05131001,05131,Sebastian,AR,2007,Jail Expansion,Passed,https://perma.cc/74WH-EVZ2,https://perma.cc/H63D-A3YB,0,0,0,0,0,0,4099999.9999999995,266,356
05131001,05131,Sebastian,AR,2019,Jail Expansion,Pending,https://perma.cc/74WH-EVZ2,https://perma.cc/7RS6-XPML,0,0,0,0,0,0,,356,
05133001,05133,Sevier,AR,2008,New Jail,Passed,https://perma.cc/74WH-EVZ2,https://perma.cc/P59Q-GRMX,https://perma.cc/WBZ9-4LPG,0,0,0,0,0,4500000,0,74
05135001,05135,Sharp,AR,2021,New Jail,Passed,https://perma.cc/4QKM-SHLC,0,0,0,0,0,0,0,8400000,0,100
05137001,05137,Stone,AR,2019,New Jail,Failed,https://perma.cc/3MFP-2BTU,0,0,0,0,0,0,0,10000000,39,100
05137001,05137,Stone,AR,2020,New Jail,Pending,https://perma.cc/79DY-9JTZ,https://perma.cc/C6GN-EX98,https://perma.cc/3MFP-2BTU,0,0,0,0,0,6000000,39,60
05143003,05143,Washington,AR,2004,New Jail,Passed,https://perma.cc/YPQ8-CJ38,0,0,0,0,0,0,0,21400000,0,710
05143003,05143,Washington,AR,2018,Jail Expansion,Failed,https://perma.cc/SW84-YU3W,0,0,0,0,0,0,0,38000000,710,1310
05143003,05143,Washington,AR,2022,Jail Expansion,Pending,https://perma.cc/ZLM7-QL7Xhttps://perma.cc/E2VD-9DEJ,https://perma.cc/6WCJ-QFVMhttps://perma.cc/TCE4-UK24,https://perma.cc/YPQ8-CJ38,0,0,0,https://perma.cc/US7B-54KG,0,18800000,710,942
05145001,05145,White,AR,2006,New Jail,Passed,https://perma.cc/9Z7B-M3XX,https://perma.cc/L32W-A2M2,0,0,0,0,0,0,15200000,0,330
05147001,05147,Woodruff,AR,2020,New Jail,Passed,https://perma.cc/S8V4-SP3A,0,0,0,0,0,0,0,5500000,23,40
05149001,05149,Yell,AR,2016,New Jail,Passed,https://perma.cc/YPQ8-CJ38,0,0,0,0,0,0,0,6300000,0,83
06005001,06005,Amador,CA,2016,Jail Expansion,Passed,https://perma.cc/Z7XV-GLCX,https://perma.cc/3PEH-4MTU,https://perma.cc/X4RA-9MTA,https://perma.cc/X8EP-KHNK,0,0,0,0,23500000,76,116
06007002,06007,Butte,CA,2007,Jail Expansion,Failed,https://perma.cc/6N2J-3G67,https://perma.cc/5XH5-GFEB,0,0,0,0,0,0,40000000,614,898
06007002,06007,Butte,CA,2019,Jail Expansion,Passed,https://perma.cc/P9K8-GP54,https://perma.cc/29J2-77PW,https://perma.cc/FM53-E7AL,0,0,0,0,0,33000000,614,650
06009001,06009,Calaveras,CA,2010,New Jail,Passed,https://perma.cc/KB9X-MTUK,https://perma.cc/5BW9-XYEM,https://perma.cc/53TS-W5FZ,0,0,0,0,0,59000000,65,160
06011001,06011,Colusa,CA,2018,New Jail,Passed,https://perma.cc/LG2X-3Q5S,https://perma.cc/P22W-MUT3,https://perma.cc/6TBQ-ZAG4,https://perma.cc/J9LJ-NRJG,0,0,0,0,20000000,92,84
06013002,06013,Contra Costa,CA,2022,Jail Expansion,Passed,https://perma.cc/Q92H-6KAA,0,0,0,0,0,0,0,95500000,1096,1384
06017001,06017,El Dorado,CA,2017,Jail Expansion,Passed,https://perma.cc/UX9L-57B6,https://perma.cc/6SGF-S7HD,https://perma.cc/972D-NPVR,0,0,0,0,0,26200000,311,469
06021001,06021,Glenn,CA,2013,Jail Expansion,Failed,https://perma.cc/32D4-8XPJ,https://perma.cc/824Q-TDAT,0,0,0,0,0,0,13700000,148,176
06023001,06023,Humboldt,CA,2018,Jail Expansion,Passed,https://perma.cc/BJR7-PT6V,https://perma.cc/SMC3-NARW,https://perma.cc/PH4Q-G4SN,0,0,0,0,0,22800000,417,461
06025005,06025,Imperial,CA,2018,Jail Expansion,Passed,https://perma.cc/EG5M-D5YP,https://perma.cc/6M3A-EAWF,0,0,0,0,0,0,33000000,226,500
06029002,06029,Kern,CA,2012,Jail Expansion,Failed,https://perma.cc/499Z-6LZ3,https://perma.cc/E5Q7-ZMWF,0,0,0,0,0,0,,374,408
06029002,06029,Kern,CA,2018,New Jail,Passed,https://perma.cc/9DZX-42M7,https://perma.cc/UGL7-FXW6,https://perma.cc/73R5-RJHE,0,0,0,0,0,128000000,0,825
06031001,06031,Kings,CA,2006,New Jail,Passed,https://perma.cc/NU7C-KN44,https://perma.cc/4DTR-8LY3,https://perma.cc/B24R-B45U,0,0,0,0,0,29400000,0,373
06031001,06031,Kings,CA,2013,Jail Expansion,Passed,https://perma.cc/4DTR-8LY3,0,0,0,0,0,0,0,,373,576
06031001,06031,Kings,CA,2016,Jail Expansion,Passed,https://perma.cc/B24R-B45U,https://perma.cc/NU7C-KN44,https://perma.cc/X2EP-7L53,https://perma.cc/9BJE-5L3L,https://perma.cc/3BR8-BVYG,https://perma.cc/89C4-MAV7,0,0,44000000,576,625
06033001,06033,Lake,CA,2013,Jail Expansion,Failed,https://perma.cc/TR6F-2R7P,https://perma.cc/ZX2L-L22U,https://perma.cc/5TF3-GSSD,0,0,0,0,0,20000000,286,365
06035001,06035,Lassen,CA,2017,Jail Expansion,Passed,https://perma.cc/JLL6-B5ZY,https://perma.cc/9AXN-GPGA,https://perma.cc/5G4Y-BM4C,0,0,0,0,0,25000000,,156
06037014,06037,Los Angeles,CA,2019,New Jail,Failed,https://perma.cc/UA4S-GDCWhttps://perma.cc/UA4S-GDCW,https://perma.cc/588B-R7CShttps://perma.cc/89FQ-A47V,https://perma.cc/3XPX-GYP4https://perma.cc/NR38-GPW2,0,0,0,0,0,2300000000,0,4000
06039001,06039,Madera,CA,2013,Jail Expansion,Passed,https://perma.cc/BKE4-9VQ9,https://perma.cc/XX46-VLHX,https://perma.cc/AE4V-PR56,0,0,0,0,0,34000000,419,563
06043001,06043,Mariposa,CA,2014,Jail Expansion,Failed,https://perma.cc/EP95-7XN2,https://perma.cc/YE39-Q77G,0,0,0,0,0,0,11400000,58,74
06045002,06045,Mendocino,CA,2022,Jail Expansion,Pending,https://perma.cc/DYN3-7RYQ,https://perma.cc/4XC2-R5ZW,0,0,0,0,0,0,35600000,301,361
06047002,06047,Merced,CA,2016,Jail Expansion,Passed,https://perma.cc/XT5Z-PLJQ,https://perma.cc/J8ZQ-D4PF,0,0,0,0,0,0,30000000,745,819
06049001,06049,Modoc,CA,2017,New Jail,Passed,https://perma.cc/W3BK-FF8U,https://perma.cc/K5CQ-N3KC,https://perma.cc/S772-NWP6,0,0,0,0,0,24516000,43,54
06051001,06051,Mono,CA,2021,New Jail,Pending,https://perma.cc/R5P6-VUGA,https://perma.cc/9ENY-AWSE,https://perma.cc/63HW-ARR8,https://perma.cc/5G4Y-BM4C,0,0,0,0,25000000,0,48
06053002,06053,Monterey,CA,2012,Jail Expansion,Passed,https://perma.cc/NM2X-TBM6,0,0,0,0,0,0,0,90000000,825,1401
06055001,06055,Napa,CA,2020,New Jail,Passed,https://perma.cc/99NL-B4TL,https://perma.cc/UH4R-MPL4,https://perma.cc/94VJ-4AA7,0,0,0,0,0,23400000,0,72
06055001,06055,Napa,CA,2022,New Jail,Pending,https://perma.cc/WV5C-9BUM,https://perma.cc/DUK2-SJQQ,https://perma.cc/VGF9-39ZH,0,0,0,0,0,133300000.00000001,276,332
06059008,06059,Orange,CA,2020,Jail Expansion,Passed,https://perma.cc/W3CG-KCVP,https://perma.cc/97VD-UFRW,https://perma.cc/D7TE-KKBY,0,0,0,0,0,289000000,1312,2208
06061001,06061,Placer,CA,2013,New Jail,Passed,https://perma.cc/MP5W-TC7W,0,0,0,0,0,0,0,92000000,0,390
06063001,06063,Plumas,CA,2022,New Jail,Passed,https://perma.cc/6M5A-NH83,https://perma.cc/YFJ2-Z5AS,https://perma.cc/G74X-V928,0,0,0,0,0,22300000,0,68
06065004,06065,Riverside,CA,2020,Jail Expansion,Passed,https://perma.cc/CW94-9RXV,https://perma.cc/KM24-WBXV,0,0,0,0,0,0,376000000,353,1626
06067002,06067,Sacramento,CA,2022,Jail Expansion,Pending,https://perma.cc/AK47-J2VD,https://perma.cc/XR5S-JHGH,0,0,0,0,0,0,10000000,,
06069001,06069,San Benito,CA,2021,Jail Expansion,Passed,https://perma.cc/8NSP-8BDG,0,0,0,0,0,0,0,26000000,142,214
06071004,06071,San Bernardino,CA,2012,Jail Expansion,Passed,https://perma.cc/T4U9-9DG8,https://perma.cc/LNK4-568G,https://perma.cc/PVV9-AAGC,0,0,0,0,0,145400000,706,2074
06073002,06073,San Diego,CA,2009,New Jail,Passed,https://perma.cc/99HM-LAKE,https://perma.cc/G8DF-DKVN,https://perma.cc/ND6L-3GF9,https://perma.cc/64A8-Q6K4,https://perma.cc/D337-EUEV,0,0,0,221500000,0,1270
06075001,06075,San Francisco,CA,2016,New Jail,Failed,https://perma.cc/VUH6-23UE,https://perma.cc/R3U9-86E7,0,0,0,0,0,0,240000000,0,384
06077001,06077,San Joaquin,CA,2004,Jail Expansion,Passed,https://www.yumpu.com/en/document/read/42380365/new-jail-presentation-update-san-joaquin-county,https://perma.cc/MH6W-XTBY,0,0,0,0,0,0,80400000,1201,1333
